run_name,adapter_seed,gate_seed,condition,adapter_accuracy,harmful_gate_accuracy,difference_pp,ci_low_pp,ci_high_pp,recovered,damaged,mcnemar_p
replication_adapter0_gate101_random20,0,101,noise4,0.5842,0.585,0.08,-0.06999999999999999,0.22999999999999998,33,25,0.358143301806138
replication_adapter0_gate101_random20,0,101,blur4,0.5238,0.5265,0.27,0.08,0.45999999999999996,59,32,0.00610552107452477
replication_adapter0_gate102_random0,0,102,noise4,0.5842,0.585,0.08,-0.06999999999999999,0.22999999999999998,33,25,0.358143301806138
replication_adapter0_gate102_random0,0,102,blur4,0.5238,0.5265,0.27,0.08,0.45999999999999996,59,32,0.00610552107452477
replication_adapter0_gate103_random0,0,103,noise4,0.5842,0.585,0.08,-0.06999999999999999,0.22999999999999998,32,24,0.34968195298368476
replication_adapter0_gate103_random0,0,103,blur4,0.5238,0.5266,0.27999999999999997,0.09,0.47000000000000003,59,31,0.0041651140158244435
replication_adapter1_gate201_random20,1,201,noise4,0.5819,0.5841,0.22,0.06,0.38999999999999996,47,25,0.012774595538064901
replication_adapter1_gate201_random20,1,201,blur4,0.5241,0.5294,0.53,0.32,0.74,83,30,6.306715100830909e-07
replication_adapter1_gate202_random0,1,202,noise4,0.5819,0.5838,0.19,0.02,0.36,46,27,0.034415913668175036
replication_adapter1_gate202_random0,1,202,blur4,0.5241,0.5296,0.5499999999999999,0.35000000000000003,0.76,85,30,2.8606566040931814e-07
replication_adapter1_gate203_random0,1,203,noise4,0.5819,0.5839,0.2,0.04,0.37,46,26,0.02446090732832437
replication_adapter1_gate203_random0,1,203,blur4,0.5241,0.5295,0.54,0.33,0.75,84,30,4.253744081497799e-07
replication_adapter2_gate301_random20,2,301,noise4,0.5843,0.5863,0.2,0.05,0.35000000000000003,40,20,0.01348929373119186
replication_adapter2_gate301_random20,2,301,blur4,0.5249,0.531,0.61,0.42,0.8099999999999999,79,18,2.72054329522114e-10
replication_adapter2_gate302_random0,2,302,noise4,0.5843,0.5863,0.2,0.05,0.35000000000000003,40,20,0.01348929373119186
replication_adapter2_gate302_random0,2,302,blur4,0.5249,0.5309,0.6,0.4,0.8,79,19,7.127385901074282e-10
replication_adapter2_gate303_random0,2,303,noise4,0.5843,0.5863,0.2,0.05,0.35000000000000003,40,20,0.01348929373119186
replication_adapter2_gate303_random0,2,303,blur4,0.5249,0.531,0.61,0.42,0.8099999999999999,80,19,4.3940278290894227e-10
