base_feature,matched_tuned_feature,decoder_cosine,base_mean_noise_minus_clean,tuned_mean_noise_minus_clean,base_direction_consistency,tuned_direction_consistency,base_margin_correlation,tuned_margin_correlation,base_margin_qvalue,tuned_margin_qvalue,same_change_direction,same_harmful_association_direction,tuned_remains_fdr_significant
14024,14024,0.6442898511886597,2.3645541667938232,2.484276533126831,0.8504,0.8886,-0.15758951008319855,-0.11185918748378754,1.5577528144803293e-25,8.665826856820344e-12,True,True,True
23037,23037,0.6211668252944946,2.050886392593384,-0.3767475485801697,0.8742,0.6014,-0.09251988679170609,0.03209318220615387,2.669840845240554e-08,0.40627332643738817,False,False,False
2339,2339,0.34226638078689575,1.8002564907073975,0.0,0.797,0.0,-0.1455956995487213,0.0,9.221664124479841e-22,1.0,False,False,False
66,66,0.4136328399181366,1.6784621477127075,0.10704430937767029,0.8606,0.5048,-0.08447384834289551,-0.03325920179486275,8.606812435681248e-07,0.36967867037610097,True,True,False
5230,5230,0.3603978753089905,1.4330500364303589,5.926698349867365e-07,0.7558,0.0004,-0.14436951279640198,-0.01551107969135046,1.5363507068898635e-21,0.9988109640621736,True,True,False
6966,6966,0.21786019206047058,1.5296547412872314,-0.031230520457029343,0.7486,0.5458,-0.13911211490631104,0.012138335034251213,5.345994722189132e-20,0.9988109640621736,False,False,False
17581,17581,0.5814206004142761,1.7358499765396118,1.1993141174316406,0.8492,0.749,-0.0720267966389656,-0.08141516894102097,5.899331888031156e-05,6.59090663948092e-06,True,True,True
23603,23603,0.3548012971878052,0.9481937289237976,0.6366979479789734,0.7058,0.6598,-0.0980839803814888,-0.05012393370270729,2.610140587029399e-09,0.026352289948651256,True,True,True
11406,11406,0.5919056534767151,1.0712867975234985,0.3285383880138397,0.7034,0.5688,-0.08829808980226517,-0.04893080145120621,1.7196768621330348e-07,0.03241059209703148,True,True,True
21053,21053,0.4696035087108612,1.1268731355667114,-0.6163393259048462,0.7732,0.6812,-0.05821508541703224,0.0056994203478097916,0.0028263074823841852,0.9988109640621736,False,False,False
12873,12873,0.27804094552993774,0.8272079825401306,0.0,0.7144,0.0,-0.07795671373605728,0.0,1.1182396349714676e-05,1.0,False,False,False
10151,10151,0.21913057565689087,0.8967565298080444,0.0,0.7108,0.0,-0.07855173945426941,0.0,9.589031390255798e-06,1.0,False,False,False
